Fecha,, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
20/8/2021,, DOCTOR A. ESPINOLA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, SAN JOSE, SAN JOSE DE MAYO, 1, 526205, 6198820 
2/4/2021,, SIN DATOS, CAÍDA, LEVE, VIERNES, 7, CANELONES, SIN DATOS, 1, 583440, 6151055 
25/4/2021,, FRANCISCO CANARO, DESPISTE, LEVE, DOMINGO, 17, ARTIGAS, ARTIGAS, 1, 551225, 6634660 
23/8/2021,, PIEDRAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 11, CANELONES, PANDO, 1, 595075, 6156910 
11/6/2021,, CAMINO GENERAL MAXIMO SANTOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, MONTEVIDEO, MONTEVIDEO, 1, 572385, 6145475 
8/6/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, CANELONES, PINAMAR - PINEPARK, 1, 604790, 6151060 
9/5/2021,, ITUZAINGO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 20, PAYSANDU, PAYSANDU, 1, 399540, 6423415 
8/4/2021,, WASHINGTON BELTRAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 13, SALTO, SALTO, 1, 408970, 6524090 
16/9/2021,, SIN DATOS, ATROPELLO DE PEATÓN, LEVE, JUEVES, 15, CANELONES, CITY GOLF, 1, 612625, 6152085 
16/9/2021,, DIECINUEVE DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 21, RIO NEGRO, FRAY BENTOS, 1, 377945, 6334830 
2/7/2021,, GENERAL ALFREDO BALDOMIR, DESPISTE, SIN LESIONADOS, VIERNES, 21, MONTEVIDEO, MONTEVIDEO, 1, 576670, 6136765 
16/7/2021,, RUTA 61. KM 25, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 13, COLONIA, SIN DATOS, 1, 468235, 6203920 
28/4/2021,, AV. DEL PARQUE ESQ CALCAGNO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 19, CANELONES, PARQUE CARRASCO, 1, 591620, 6142975 
1/9/2021,, LIZARZA E ITUZANGO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 14, MALDONADO, PAN DE AZUCAR, 1, 662385, 6150300 
13/5/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 17, CANELONES, SIN DATOS, 1, 575435, 6167440 
14/5/2021,, SIN DATOS, DESPISTE, SIN LESIONADOS, VIERNES, 21, SORIANO, SIN DATOS, 1, 446400, 6264235 
17/7/2021,, AVENIDA GENERAL GARIBALDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 16, MONTEVIDEO, MONTEVIDEO, 1, 575410, 6140155 
6/6/2021,, MAGALLANES, ATROPELLO DE PEATÓN, LEVE, DOMINGO, 13, MONTEVIDEO, MONTEVIDEO, 1, 574910, 6137475 
7/8/2021,, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 12, COLONIA, SIN DATOS, 1, 477915, 6198745 
1/5/2021,, RUTA 21, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 3, COLONIA, SIN DATOS, 1, 422910, 6187445 
