Fecha,, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
12/2/2022,, RAMBLA LORENZO BATLLE PACHECO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 4, MALDONADO, PUNTA DEL ESTE, 1, 688245, 6129620 
18/11/2021,, INDEPENDENCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 19, CANELONES, PANDO, 1, 595925, 6157815 
12/12/2021,, VIA_PUBLICA, DESPISTE, LEVE, DOMINGO, 8, CANELONES, ATLANTIDA, 1, 612960, 6152120 
7/12/2021,, PEREGRINA BALBOA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 7, ROCHA, ROCHA, 1, 746330, 6181735 
4/12/2021,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 11, TACUAREMBO, TACUAREMBO, 1, 596160, 6490425 
28/11/2021,, AVENIDA DAMASO ANTONIO LARRAÑAGA, ATROPELLO DE PEATÓN, LEVE, DOMINGO, 15, MONTEVIDEO, MONTEVIDEO, 1, 577545, 6141960 
7/1/2022,, CORONEL ESCRIBANO JUAN M. PUENTES, ATROPELLO DE ANIMALES, LEVE, VIERNES, 19, TACUAREMBO, TACUAREMBO, 1, 597395, 6488715 
23/11/2021,, GENERAL FLORES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 15, TACUAREMBO, TACUAREMBO, 1, 596910, 6491080 
12/1/2022,, AVENIDA DON PEDRO DE MENDOZA, CAÍDA, LEVE, MIÉRCOLES, 18, MONTEVIDEO, MONTEVIDEO, 1, 576875, 6147550 
15/11/2021,, REPUBLICA ARGENTINA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, PAYSANDU, PAYSANDU, 1, 400125, 6423505 
18/12/2021,, JUAN BENITO BLANCO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 16, MONTEVIDEO, MONTEVIDEO, 1, 577700, 6136150 
29/1/2022,, AV. ENRIQUE CHAPLIN, ATROPELLO DE ANIMALES, LEVE, SÁBADO, 10, PAYSANDU, CHACRAS DE PAYSANDU, 1, 400580, 6425460 
3/2/2022,, BOULEVARD GENERAL ARTIGAS, ATROPELLO DE PEATÓN, LEVE, JUEVES, 21, MONTEVIDEO, MONTEVIDEO, 1, 576435, 6136515 
26/11/2021,, ALEJANDRO GALLINAL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 21, FLORIDA, FLORIDA, 1, 571915, 6226930 
28/11/2021,, SIN DATOS, ATROPELLO DE ANIMALES, SIN LESIONADOS, DOMINGO, 17, PAYSANDU, SIN DATOS, 1, 406110, 6410960 
23/10/2021,, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 21, MONTEVIDEO, MONTEVIDEO, 1, 578575, 6139205 
16/12/2021,, SIN DATOS, DESPISTE, LEVE, JUEVES, 11, CANELONES, SIN DATOS, 1, 621625, 6187740 
23/12/2021,, BERNABE RIVERA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 20, ARTIGAS, ARTIGAS, 1, 551000, 6637075 
