Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
7/10/2014, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, MARTES, 2, ARTIGAS, SIN DATOS, 1, 588795, 6565640 
23/12/2014, NO SE INGRESO, CAÍDA, LEVE, MARTES, 20, CANELONES, ATLANTIDA, 1, 614070, 6152245 
30/11/2014, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, DOMINGO, 16, TACUAREMBO, SIN DATOS, 1, 547760, 6383905 
13/7/2014, NO SE INGRESO, DESPISTE, LEVE, DOMINGO, 9, SAN JOSE, SIN DATOS, 1, 523410, 6242610 
30/11/2014, BERRO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 13, FLORES, TRINIDAD, 1, 508535, 6291250 
12/10/2014, , DESPISTE, GRAVE, DOMINGO, 19, CANELONES, SIN DATOS, 1, 603325, 6154185 
12/8/2014, AVENIDA 1825, CAÍDA, LEVE, MARTES, 12, RIVERA, RIVERA, 1, 638405, 6582025 
29/3/2015, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, DOMINGO, 17, ROCHA, SIN DATOS, 1, 826215, 6259990 
22/2/2015, PIEDRAS, CAÍDA, LEVE, DOMINGO, 10, CANELONES, PANDO, 1, 595040, 6157000 
18/1/2015, NO SE INGRESO, DESPISTE, SIN LESIONADOS, DOMINGO, 8, TACUAREMBO, SIN DATOS, 1, 640530, 6473980 
4/5/2014, NO SE INGRESO, DESPISTE, GRAVE, DOMINGO, 3, CERRO LARGO, SIN DATOS, 1, 771850, 6413285 
6/4/2014, , CAÍDA, LEVE, DOMINGO, 19, MALDONADO, SIN DATOS, 1, 661205, 6140685 
19/10/2014, NO SE INGRESO, CAÍDA, LEVE, DOMINGO, 20, CANELONES, SIN DATOS, 1, 573455, 6180760 
19/10/2014, RUTA CIENTODOS, CAÍDA, GRAVE, DOMINGO, 11, MONTEVIDEO, SIN DATOS, 1, 585905, 6148865 
29/3/2015, NO SE INGRESO, DESPISTE, LEVE, DOMINGO, 22, RIO NEGRO, SIN DATOS, 1, 404570, 6343610 
8/3/2015, , COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 3, MALDONADO, SIN DATOS, 1, 691565, 6148090 
28/9/2014, NO SE INGRESO, ATROPELLO DE PEATÓN, GRAVE, DOMINGO, 9, FLORES, SIN DATOS, 1, 511620, 6283065 
3/10/2014, SEIS DE ABRIL, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 13, SALTO, SALTO, 1, 407980, 6528055 
27/6/2014, RUTA 19, DESPISTE, SIN LESIONADOS, VIERNES, 17, TREINTA Y TRES, SIN DATOS, 1, 739055, 6316750 
19/4/2014, , DESPISTE, SIN LESIONADOS, SÁBADO, 19, DURAZNO, SIN DATOS, 1, 623225, 6343125 
10/11/2014, NO SE INGRESO, CAÍDA, LEVE, LUNES, 5, FLORIDA, SIN DATOS, 1, 600660, 6229675 
2/6/2014, NO SE INGRESO, DESPISTE, SIN LESIONADOS, LUNES, 15, CANELONES, SANTA LUCIA DEL ESTE, 1, 634500, 6149670 
26/5/2014, , COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 4, RIVERA, SIN DATOS, 1, 626915, 6540755 
27/10/2014, JULIO CESAR GRAUERT, CAÍDA, LEVE, LUNES, 2, TACUAREMBO, PASO DE LOS TOROS, 1, 543965, 6369765 
8/9/2014, , DESPISTE, SIN LESIONADOS, LUNES, 20, CANELONES, SIN DATOS, 1, 587485, 6157830 
9/6/2014, , DESPISTE, GRAVE, LUNES, 20, PAYSANDU, SIN DATOS, 1, 394465, 6417160 
12/5/2014, FLORENCIO SANCHEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 19, RIVERA, RIVERA, 1, 638260, 6581030 
6/10/2014, BLAS BASUALDO, CAÍDA, LEVE, LUNES, 20, SALTO, SALTO, 1, 414430, 6527095 
1/12/2014, NO SE INGRESO, DESPISTE, LEVE, LUNES, 14, ROCHA, SIN DATOS, 1, 806175, 6218905 
8/12/2014, RUTA 10 Y CALLE 20, CAÍDA, LEVE, LUNES, 17, MALDONADO, PIRIAPOLIS, 1, 657760, 6141335 
19/5/2014, NO SE INGRESO, DESPISTE, SIN LESIONADOS, LUNES, 11, CANELONES, SIN DATOS, 1, 590815, 6183910 
21/10/2014, JARDINES DE CAMPISTEGUI, CAÍDA, LEVE, MARTES, 15, CANELONES, SIN DATOS, 1, 571905, 6158850 
22/7/2014, ZITARROSA, CAÍDA, LEVE, MARTES, 9, MALDONADO, MALDONADO, 1, 688050, 6135630 
27/5/2014, CAMINO FAUQUET, CAÍDA, LEVE, MARTES, 1, MONTEVIDEO, SIN DATOS, 1, 567115, 6152525 
8/4/2014, JOSE BATLLE Y ORDOÑEZ, CAÍDA, LEVE, MARTES, 16, ROCHA, ROCHA, 1, 746070, 6180455 
20/5/2014, RUTA 8 KILOMETRO 82, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 16, LAVALLEJA, SIN DATOS, 1, 640845, 6172250 
30/12/2014, AVENIDA ALFONSINA STORNI, CAÍDA, LEVE, MARTES, 9, MONTEVIDEO, MONTEVIDEO, 1, 572575, 6142625 
24/12/2014, R 8 KM 267, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 15, TREINTA Y TRES, SIN DATOS, 1, 734370, 6306970 
22/10/2014, NO SE INGRESO, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 7, SAN JOSE, SIN DATOS, 1, 520100, 6178405 
23/4/2014, CAMINO VECINAL, CAÍDA, GRAVE, MIÉRCOLES, 20, MONTEVIDEO, SIN DATOS, 1, 575985, 6155785 
28/5/2014, RUTA SETENTA Y CINCO, CAÍDA, LEVE, MIÉRCOLES, 8, CANELONES, SIN DATOS, 1, 594745, 6159100 
23/4/2014, , COLISIÓN ENTRE VEHÍCULOS, GRAVE, MIÉRCOLES, 0, CANELONES, SIN DATOS, 1, 592695, 6151625 
3/12/2014, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 22, FLORES, SIN DATOS, 1, 510520, 6288830 
3/9/2014, , CAÍDA, SIN LESIONADOS, MIÉRCOLES, 0, PAYSANDU, PAYSANDU, 1, 397140, 6422145 
19/7/2014, RUTA 33 KM 23, DESPISTE, LEVE, SÁBADO, 13, CANELONES, SIN DATOS, 1, 581075, 6155940 
25/10/2014, , CAÍDA, LEVE, SÁBADO, 17, CANELONES, SIN DATOS, 1, 558680, 6179125 
14/6/2014, , CAÍDA, LEVE, SÁBADO, 12, CANELONES, SAN LUIS, 1, 628895, 6151660 
19/7/2014, CMINO. ISLA DAS COBRAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, CERRO LARGO, SIN DATOS, 1, 838030, 6385890 
16/8/2014, NO SE INGRESO, CAÍDA, LEVE, SÁBADO, 17, PAYSANDU, SIN DATOS, 1, 416315, 6479940 
30/8/2014, , DESPISTE, LEVE, SÁBADO, 13, DURAZNO, SIN DATOS, 1, 640875, 6342385 
17/5/2014, , DESPISTE, LEVE, SÁBADO, 19, ROCHA, SIN DATOS, 1, 743220, 6184130 
9/8/2014, , COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 15, TACUAREMBO, TACUAREMBO, 1, 594565, 6490240 
19/4/2014, , CAÍDA, LEVE, SÁBADO, 17, FLORIDA, FLORIDA, 1, 571425, 6226740 
