Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
29/12/2013, , CAÍDA, GRAVE, DOMINGO, 9, CANELONES, SIN DATOS, 1, 602365, 6203115 
22/12/2013, , DESPISTE, LEVE, DOMINGO, 4, ARTIGAS, ARTIGAS, 1, 550180, 6635470 
5/5/2013, , DESPISTE, SIN LESIONADOS, DOMINGO, 1, SAN JOSE, SIN DATOS, 1, 528680, 6213765 
20/10/2013, NO SE INGRESO, CAÍDA, LEVE, DOMINGO, 16, PAYSANDU, SIN DATOS, 1, 415200, 6447820 
16/3/2014, , COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 7, MALDONADO, LA CAPUERA, 1, 670210, 6140390 
20/10/2013, CAMINO LUSSICH, DESPISTE, LEVE, DOMINGO, 20, MALDONADO, SIN DATOS, 1, 683440, 6138430 
16/2/2014, , CAÍDA, LEVE, DOMINGO, 22, CANELONES, SIN DATOS, 1, 627970, 6163830 
25/8/2013, TOMAS DE TEZANOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 19, MONTEVIDEO, MONTEVIDEO, 1, 579240, 6137385 
27/10/2013, , CAÍDA, LEVE, DOMINGO, 14, SAN JOSE, SIN DATOS, 1, 520925, 6177290 
16/9/2013, NO SE INGRESO, DESPISTE, GRAVE, LUNES, 1, RIO NEGRO, SIN DATOS, 1, 404545, 6343575 
14/10/2013, , ATROPELLO DE ANIMALES, LEVE, LUNES, 19, DURAZNO, SIN DATOS, 1, 634320, 6380415 
24/6/2013, FLORIDA, CAÍDA, LEVE, LUNES, 15, CANELONES, TALA, 1, 613670, 6198775 
18/11/2013, , DESPISTE, GRAVE, LUNES, 9, ARTIGAS, BELLA UNION, 1, 442655, 6652865 
12/8/2013, NO SE INGRESO, CAÍDA, LEVE, LUNES, 14, FLORIDA, SIN DATOS, 1, 569890, 6234235 
9/12/2013, , ATROPELLO DE ANIMALES, LEVE, LUNES, 20, CANELONES, SAUCE, 1, 585415, 6166345 
2/9/2013, , CAÍDA, LEVE, LUNES, 7, CERRO LARGO, RIO BRANCO, 1, 839785, 6387955 
3/6/2013, GUARANI, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, SALTO, SALTO, 1, 408125, 6528145 
19/8/2013, BRASIL, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 21, ROCHA, CHUY, 1, 828600, 6266265 
15/7/2013, , CAÍDA, GRAVE, LUNES, 13, ARTIGAS, SIN DATOS, 1, 518645, 6568355 
4/11/2013, NO SE INGRESO, DESPISTE, LEVE, LUNES, 23, ROCHA, SIN DATOS, 1, 826215, 6259990 
28/10/2013, , COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 21, MALDONADO, CERRO PELADO, 1, 685630, 6137675 
30/9/2013, , COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 9, MALDONADO, MALDONADO, 1, 687490, 6136360 
24/6/2013, , DESPISTE, LEVE, LUNES, 5, ARTIGAS, SIN DATOS, 1, 531115, 6608060 
18/11/2013, , CAÍDA, SIN LESIONADOS, LUNES, 2, TACUAREMBO, SIN DATOS, 1, 646370, 6472460 
23/9/2013, , COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 7, COLONIA, SIN DATOS, 1, 473660, 6200835 
2/12/2013, RUTA 10, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, MALDONADO, EL TESORO, 1, 695025, 6134875 
11/6/2013, RUTA 8 km. 292, COLISIÓN ENTRE VEHÍCULOS, FATAL, MARTES, 16, TREINTA Y TRES, SIN DATOS, 1, 744010, 6324915 
23/4/2013, GENARO GILBERT, CAÍDA, LEVE, MARTES, 16, TACUAREMBO, TACUAREMBO, 1, 597060, 6489885 
16/7/2013, , DESPISTE, GRAVE, MARTES, 18, DURAZNO, SARANDI DEL YI, 1, 627830, 6311070 
18/6/2013, NO SE INGRESO, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, MARTES, 23, SAN JOSE, SIN DATOS, 1, 525320, 6198305 
23/4/2013, RUTA 43 KM.37.500, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, MARTES, 18, DURAZNO, SIN DATOS, 1, 628060, 6361965 
7/5/2013, , DESPISTE, LEVE, MARTES, 21, CANELONES, SIN DATOS, 1, 576205, 6160125 
3/12/2013, , COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 5, TACUAREMBO, SIN DATOS, 1, 597210, 6491745 
20/8/2013, , CAÍDA, LEVE, MARTES, 10, MALDONADO, RUTA 37 Y 9, 1, 661215, 6148400 
20/8/2013, RUTA 27.KM 26.-, CAÍDA, LEVE, MARTES, 20, RIVERA, SIN DATOS, 1, 684585, 6505435 
14/5/2013, RUTA CATORCE, CAÍDA, GRAVE, MARTES, 23, SORIANO, MERCEDES, 1, 406440, 6320805 
21/5/2013, , DESPISTE, SIN LESIONADOS, MARTES, 13, CERRO LARGO, SIN DATOS, 1, 741625, 6405970 
1/5/2013, , CAÍDA, GRAVE, MIÉRCOLES, 11, RIVERA, SIN DATOS, 1, 612385, 6546745 
26/6/2013, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, MIÉRCOLES, 19, RIVERA, SIN DATOS, 1, 704350, 6495755 
20/11/2013, FLORENCIO SANCHEZ, CAÍDA, LEVE, MIÉRCOLES, 21, SORIANO, MERCEDES, 1, 403545, 6320265 
23/10/2013, RECONQUISTA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 0, MONTEVIDEO, MONTEVIDEO, 1, 572255, 6136570 
2/10/2013, , DESPISTE, SIN LESIONADOS, MIÉRCOLES, 14, CANELONES, SIN DATOS, 1, 604355, 6157455 
5/6/2013, , CAÍDA, LEVE, MIÉRCOLES, 15, RIVERA, RIVERA, 1, 638340, 6583285 
18/9/2013, RINCON, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 17, SALTO, SALTO, 1, 408445, 6526745 
1/6/2013, , COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, COLONIA, COLONIA DEL SACRAMENTO, 1, 422555, 6186380 
27/7/2013, , CAÍDA, LEVE, SÁBADO, 23, SALTO, SALTO, 1, 413390, 6527055 
6/4/2013, , COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 19, CANELONES, SIN DATOS, 1, 581945, 6159175 
28/12/2013, , CAÍDA, LEVE, SÁBADO, 20, CANELONES, SIN DATOS, 1, 596720, 6150320 
19/10/2013, , DESPISTE, LEVE, SÁBADO, 19, COLONIA, SIN DATOS, 1, 472165, 6200665 
7/9/2013, , DESPISTE, GRAVE, SÁBADO, 6, COLONIA, SIN DATOS, 1, 432325, 6189660 
5/10/2013, , DESPISTE, LEVE, SÁBADO, 15, TREINTA Y TRES, SIN DATOS, 1, 673530, 6321985 
10/8/2013, , DESPISTE, SIN LESIONADOS, SÁBADO, 18, FLORIDA, SIN DATOS, 1, 571860, 6206265 
28/12/2013, NO SE INGRESO, DESPISTE, LEVE, SÁBADO, 9, PAYSANDU, SIN DATOS, 1, 419530, 6462745 
12/10/2013, RUTA DOS, CAÍDA, LEVE, SÁBADO, 11, RIO NEGRO, FRAY BENTOS, 1, 379365, 6333165 
1/5/2013, , COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 20, ARTIGAS, ARTIGAS, 1, 551150, 6636630 
