Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
2/11/2015, NO SE INGRESO, DESPISTE, LEVE, LUNES, 20, CANELONES, SIN DATOS, 1, 627515, 6174165 
17/8/2015, AVENIDA AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 1, 573155, 6140490 
17/8/2015, AVENIDA BALTASAR BRUM, ATROPELLO DE ANIMALES, LEVE, LUNES, 18, ARTIGAS, ARTIGAS, 1, 551765, 6635170 
16/11/2015, BOULEVARD GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 574395, 6140955 
28/12/2015, VIVAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 1, 571250, 6148150 
30/11/2015, CUAREIM, CAÍDA, LEVE, LUNES, 10, MONTEVIDEO, MONTEVIDEO, 1, 573890, 6138200 
20/4/2015, CAMINO DE LAS DILIGENCIAS, CAÍDA, LEVE, LUNES, 4, CERRO LARGO, MELO, 1, 764165, 6415760 
21/12/2015, NO SE INGRESO, DESPISTE, SIN LESIONADOS, LUNES, 15, CERRO LARGO, SIN DATOS, 1, 771035, 6402225 
14/9/2015, DOCTOR ALBERTO BARRAGUE, CAÍDA, LEVE, LUNES, 18, TACUAREMBO, TACUAREMBO, 1, 596615, 6490125 
6/4/2015, GENERAL RONDEAU, DESPISTE, SIN LESIONADOS, LUNES, 6, ARTIGAS, ARTIGAS, 1, 550495, 6635770 
21/12/2015, MALDONADO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 1, 574520, 6136730 
14/12/2015, RUBENS, DESPISTE, SIN LESIONADOS, LUNES, 11, MALDONADO, SAN RAFAEL - EL PLACER, 1, 693810, 6133520 
4/5/2015, RAMBLA DOCTOR BALTASAR BRUM, CAÍDA, LEVE, LUNES, 5, MONTEVIDEO, MONTEVIDEO, 1, 571785, 6140640 
27/4/2015, VEINTE DE SETIEMBRE, ATROPELLO DE PEATÓN, LEVE, LUNES, 20, ARTIGAS, ARTIGAS, 1, 551205, 6635205 
29/6/2015, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, MALDONADO, PUNTA DEL ESTE, 1, 687755, 6134470 
8/6/2015, EJIDO, ATROPELLO DE PEATÓN, LEVE, LUNES, 10, MONTEVIDEO, MONTEVIDEO, 1, 574275, 6137235 
7/9/2015, BENITO CHAIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, PAYSANDU, PAYSANDU, 1, 397780, 6422315 
17/8/2015, MANUEL ORIBE Y CARLOS ROXLO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, RIVERA, RIVERA, 1, 639555, 6578670 
26/10/2015, RIVERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, CANELONES, SANTA LUCIA, 1, 555990, 6187300 
6/4/2015, INDEPENDENCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, FLORIDA, FLORIDA, 1, 571255, 6227520 
28/9/2015, NEIRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 578560, 6138675 
31/8/2015, FELIPE FONTANA, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, LUNES, 0, COLONIA, NUEVA PALMIRA, 1, 369425, 6251030 
6/4/2015, AVENIDA JUAN ANTONIO LAVALLEJA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 14, MALDONADO, MALDONADO, 1, 686795, 6135930 
1/6/2015, REPUBLICA DE CHILE EX CALLE 30, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 5, PAYSANDU, NUEVO PAYSANDU, 1, 399650, 6426975 
4/5/2015, AVENIDA GENERAL EUGENIO GARZON, ATROPELLO DE PEATÓN, GRAVE, LUNES, 20, MONTEVIDEO, MONTEVIDEO, 1, 571335, 6146230 
1/6/2015, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, FLORIDA, FLORIDA, 1, 571350, 6226600 
13/4/2015, AVENIDA BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 17, ARTIGAS, ARTIGAS, 1, 551635, 6636075 
23/11/2015, ZORRILLA SAN MARTIN ESQ ACHIRAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 9, CANELONES, NEPTUNIA, 1, 603625, 6150880 
17/8/2015, AVENIDA GENERAL EUGENIO GARZON, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 6, MONTEVIDEO, MONTEVIDEO, 1, 571320, 6145810 
4/5/2015, JOSE ENRIQUE RODO, ATROPELLO DE PEATÓN, LEVE, LUNES, 15, LAVALLEJA, MINAS, 1, 662450, 6194890 
23/11/2015, AVENIDA PEREZ BUTLER, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, CANELONES, EL PINAR, 1, 598115, 6148720 
17/8/2015, BOULEVARD GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 23, MONTEVIDEO, MONTEVIDEO, 1, 576145, 6140150 
17/8/2015, BOULEVARD GENERAL ARTIGAS, ATROPELLO DE PEATÓN, LEVE, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 1, 576270, 6138535 
28/9/2015, JUAN ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, CANELONES, EMPALME OLMOS, 1, 601070, 6160265 
16/11/2015, JOAQUIN SUAREZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 10, ARTIGAS, BELLA UNION, 1, 442315, 6652500 
13/4/2015, AVENIDA DOCTOR CARLOS MARIA RAMIREZ, ATROPELLO DE PEATÓN, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 568425, 6140660 
10/8/2015, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, MONTEVIDEO, MONTEVIDEO, 1, 577155, 6138700 
31/8/2015, EHRLICH, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 8, MONTEVIDEO, MONTEVIDEO, 1, 574625, 6142280 
20/7/2015, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, FLORES, TRINIDAD, 1, 509415, 6291000 
27/7/2015, GONZALEZ MORENO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, COLONIA, COLONIA DEL SACRAMENTO, 1, 423315, 6187020 
7/9/2015, AVELLANEDA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 20, MONTEVIDEO, MONTEVIDEO, 1, 578310, 6140805 
9/11/2015, SIMON DEL PINO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 18, MALDONADO, MALDONADO, 1, 687750, 6135940 
