Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
17/1/2021, SIN DATOS, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, DOMINGO, 13, PAYSANDU, CHACRAS DE PAYSANDU, 1, 400930, 6421535 
17/1/2021, AVENIDA LUIS BATLLE BERRES, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 14, MONTEVIDEO, MONTEVIDEO, 1, 566530, 6144880 
17/1/2021, MARIA STAGNERO DE MUNAR, DESPISTE, LEVE, DOMINGO, 14, MONTEVIDEO, MONTEVIDEO, 1, 578140, 6140200 
17/1/2021, LAGUNA NEGRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 18, ROCHA, PUNTA DEL DIABLO, 1, 818575, 6227350 
17/1/2021, SIN DATOS, ATROPELLO DE ANIMALES, LEVE, DOMINGO, 19, PAYSANDU, CHACRAS DE PAYSANDU, 1, 401575, 6424460 
17/1/2021, MONTE CASEROS, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 20, MONTEVIDEO, MONTEVIDEO, 1, 576975, 6139840 
17/1/2021, INTENDENTE ORESTES LANZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 18, SALTO, SALTO, 1, 406955, 6525630 
17/1/2021, AVENIDA GENERAL RONDEAU, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 21, MONTEVIDEO, MONTEVIDEO, 1, 573735, 6138810 
18/1/2021, PRESIDENTE GIRO, DESPISTE, SIN LESIONADOS, LUNES, 1, RIVERA, LAGUNON, 1, 635145, 6583205 
18/1/2021, AVENIDA LEZICA, DESPISTE, LEVE, LUNES, 3, MONTEVIDEO, MONTEVIDEO, 1, 569050, 6149010 
18/1/2021, CAMINO PEIXOTO, DESPISTE, SIN LESIONADOS, LUNES, 3, MONTEVIDEO, SIN DATOS, 1, 565295, 6152545 
17/1/2021, DOCTOR MIGUEL AGUERRE ARISTEGUI, ATROPELLO DE ANIMALES, LEVE, DOMINGO, 20, RIVERA, RIVERA, 1, 638345, 6582305 
18/1/2021, TREINTA Y TRES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 10, RIO NEGRO, FRAY BENTOS, 1, 377420, 6335020 
18/1/2021, AVENIDA CENTENARIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 1, 577430, 6139700 
18/1/2021, CNO. ELIAS REGULES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, SORIANO, MERCEDES, 1, 406500, 6321240 
18/1/2021, SIN DATOS, DESPISTE, SIN LESIONADOS, LUNES, 14, RIVERA, SIN DATOS, 1, 631200, 6556230 
18/1/2021, EX RUTA 3, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, LUNES, 15, SALTO, SIN DATOS, 1, 411250, 6532415 
18/1/2021, AVENIDA AGRACIADA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 15, MONTEVIDEO, MONTEVIDEO, 1, 573890, 6139235 
18/1/2021, TREINTA Y TRES ORIENTALES, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 15, RIVERA, RIVERA, 1, 639995, 6580900 
18/1/2021, PORONGOS, ATROPELLO DE PEATÓN, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 575105, 6139850 
18/1/2021, INCA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 575120, 6138865 
18/1/2021, COOPER, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 585090, 6140525 
18/1/2021, GENERAL URQUIZA, ATROPELLO DE PEATÓN, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 577175, 6139700 
18/1/2021, JOSE MARIA GUERRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, MONTEVIDEO, MONTEVIDEO, 1, 578175, 6144275 
18/1/2021, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 17, MONTEVIDEO, MONTEVIDEO, 1, 570235, 6146605 
18/1/2021, LA PAZ, DESPISTE, LEVE, LUNES, 20, MONTEVIDEO, MONTEVIDEO, 1, 574020, 6137835 
18/1/2021, AV. ENRIQUE CHAPLIN ESQUINA SARANDI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 21, PAYSANDU, PAYSANDU, 1, 400135, 6422250 
18/1/2021, ANGELA B. DE LOPEZ, CAÍDA, LEVE, LUNES, 21, TACUAREMBO, PASO DE LOS TOROS, 1, 544920, 6369710 
18/1/2021, APAULAZA, CAÍDA, LEVE, LUNES, 20, SALTO, SIN DATOS, 1, 410110, 6523310 
18/1/2021, AVENIDA DAMASO ANTONIO LARRAÑAGA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 21, MONTEVIDEO, MONTEVIDEO, 1, 577920, 6143455 
19/1/2021, RAMBLA MAHATMA GANDHI, DESPISTE, LEVE, MARTES, 2, MONTEVIDEO, MONTEVIDEO, 1, 577565, 6135295 
19/1/2021, PROVINCIA DE ENTRE RIOS, ATROPELLO DE ANIMALES, LEVE, MARTES, 7, SALTO, SALTO, 1, 408145, 6525630 
19/1/2021, AVENIDA DE LOS IRACUNDOS, DESPISTE, SIN LESIONADOS, MARTES, 8, PAYSANDU, PAYSANDU, 1, 397290, 6426515 
19/1/2021, AVENIDA MILLAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 10, MONTEVIDEO, MONTEVIDEO, 1, 571575, 6144735 
19/1/2021, CAMINO CASTRO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, MARTES, 10, MONTEVIDEO, MONTEVIDEO, 1, 572745, 6143180 
19/1/2021, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 11, TACUAREMBO, TACUAREMBO, 1, 597125, 6490875 
19/1/2021, REPUBLICA ARGENTINA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 10, TACUAREMBO, TACUAREMBO, 1, 595090, 6490340 
19/1/2021, VALENTIN OLIVERA ORTIZ, CAÍDA, LEVE, MARTES, 11, TREINTA Y TRES, TREINTA Y TRES, 1, 744325, 6320460 
19/1/2021, CALLE PUBLICA 442, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 9, TACUAREMBO, TACUAREMBO, 1, 594945, 6488650 
19/1/2021, AVENIDA JOSE BELLONI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 13, MONTEVIDEO, MONTEVIDEO, 1, 578550, 6145470 
19/1/2021, EDUARDO PONDAL, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 13, MONTEVIDEO, MONTEVIDEO, 1, 572435, 6144095 
19/1/2021, VIA_PUBLICA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 13, SAN JOSE, SAN JOSE DE MAYO, 1, 526580, 6200890 
19/1/2021, AVENIDA DON PEDRO DE MENDOZA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 11, MONTEVIDEO, MONTEVIDEO, 1, 576695, 6148160 
19/1/2021, DOCTOR LUIS ALBERTO DE HERRERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 16, TACUAREMBO, TACUAREMBO, 1, 597125, 6490875 
19/1/2021, MATAOJO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, MONTEVIDEO, MONTEVIDEO, 1, 580510, 6139785 
19/1/2021, ORSINI BERTANI, ATROPELLO DE PEATÓN, LEVE, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 1, 576080, 6145495 
19/1/2021, CAMINO CAPITAN TULA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 17, MONTEVIDEO, MONTEVIDEO, 1, 578380, 6146405 
19/1/2021, AVENIDA BURGUES ESQ. ESPINILLO, ATROPELLO DE PEATÓN, FATAL, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 1, 574370, 6141220 
19/1/2021, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 20, RIO NEGRO, FRAY BENTOS, 1, 379130, 6333730 
19/1/2021, BOULEVARD APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 1, 575855, 6144865 
19/1/2021, URUGUAY, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 21, SALTO, SALTO, 1, 408870, 6526980 
19/1/2021, DOCTOR JUAN PAULLIER, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 1, 575950, 6137830 
19/1/2021, ISLA DE GASPAR, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, MARTES, 21, MONTEVIDEO, MONTEVIDEO, 1, 579650, 6139670 
20/1/2021, HAVRE, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 6, MONTEVIDEO, MONTEVIDEO, 1, 584955, 6140810 
20/1/2021, AVENIDA GENERAL JOSE GERVASIO ARTIGAS, ATROPELLO DE ANIMALES, LEVE, MIÉRCOLES, 8, PAYSANDU, GUICHON, 1, 481135, 6419250 
20/1/2021, BOULEVARD JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 11, MONTEVIDEO, MONTEVIDEO, 1, 577105, 6140730 
20/1/2021, VEINTISEIS DE MARZO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 12, MONTEVIDEO, MONTEVIDEO, 1, 578615, 6137015 
20/1/2021, MARIO ANZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 15, ROCHA, ROCHA, 1, 745755, 6180460 
20/1/2021, AVENIDA GENERAL RIVERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 14, MONTEVIDEO, MONTEVIDEO, 1, 576965, 6137380 
20/1/2021, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 15, TACUAREMBO, SIN DATOS, 1, 644550, 6472375 
20/1/2021, AVENIDA AGRACIADA, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 16, MONTEVIDEO, MONTEVIDEO, 1, 572135, 6141825 
20/1/2021, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, RIVERA, RIVERA, 1, 638715, 6580985 
20/1/2021, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 17, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 1, 553780, 6153170 
20/1/2021, CARDAL, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, RIO NEGRO, FRAY BENTOS, 1, 379935, 6333035 
20/1/2021, INGENIERO JUAN ALBERTO CAPURRO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 17, MONTEVIDEO, MONTEVIDEO, 1, 572175, 6141055 
20/1/2021, LAGUNA DE ROCHA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, ROCHA, CHUY, 1, 828985, 6265670 
20/1/2021, MONTEVIDEO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 19, RIO NEGRO, YOUNG, 1, 440955, 6381035 
13/1/2021, ROQUE GRASERAS, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 18, MONTEVIDEO, MONTEVIDEO, 1, 577470, 6135635 
20/1/2021, AVENIDA MILLAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, MONTEVIDEO, MONTEVIDEO, 1, 573820, 6141475 
20/1/2021, AVENIDA INGENIERO SANTIAGO RIVAS, ATROPELLO DE ANIMALES, LEVE, MIÉRCOLES, 21, MONTEVIDEO, MONTEVIDEO, 1, 579255, 6137900 
20/1/2021, JUANA A. DE ORIOL, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 20, RIVERA, RIVERA, 1, 638630, 6581040 
20/1/2021, CERRITO, CAÍDA, LEVE, MIÉRCOLES, 23, SORIANO, MERCEDES, 1, 402960, 6320785 
21/1/2021, RAMBLA PRESIDENTE WILSON, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 0, MONTEVIDEO, MONTEVIDEO, 1, 575595, 6136125 
21/1/2021, RUTA 3 KM 280.500, DESPISTE, FATAL, JUEVES, 0, RIO NEGRO, SIN DATOS, 1, 459755, 6360055 
20/1/2021, GENERAL LUNA Y PROYECTADA 26 NORTE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 23, PAYSANDU, PAYSANDU, 1, 399440, 6425040 
21/1/2021, AVENIDA DAMASO ANTONIO LARRAÑAGA, ATROPELLO DE PEATÓN, LEVE, JUEVES, 7, MONTEVIDEO, MONTEVIDEO, 1, 577460, 6140390 
21/1/2021, SAMUEL PRILIAC, CAÍDA, LEVE, JUEVES, 7, ROCHA, CHUY, 1, 829310, 6266120 
21/1/2021, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 9, TACUAREMBO, SIN DATOS, 1, 606525, 6501265 
21/1/2021, SETEMBRINO PEREDA Y PROYECTADA 68, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, JUEVES, 9, PAYSANDU, NUEVO PAYSANDU, 1, 398105, 6426960 
21/1/2021, BULEVAR GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 10, RIO NEGRO, FRAY BENTOS, 1, 379475, 6333005 
