Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
14/8/2016, 15 Y ALBERTO CARACARA , COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 9, MALDONADO, MALDONADO, 1, 688535, 6137225 
25/12/2016, MONTEVIDEO, CAÍDA, LEVE, DOMINGO, 0, CANELONES, SIN DATOS, 1, 571150, 6159335 
24/4/2016, NO SE INGRESO, ATROPELLO DE PEATÓN, LEVE, DOMINGO, 20, COLONIA, SIN DATOS, 1, 430100, 6188915 
27/11/2016, NO SE INGRESO, DESPISTE, SIN LESIONADOS, DOMINGO, 4, CANELONES, SIN DATOS, 1, 601030, 6173735 
3/7/2016, ELIAS REGULES, DESPISTE, LEVE, DOMINGO, 22, CANELONES, SIN DATOS, 1, 571865, 6158670 
7/8/2016, CAMINO HIGUERITAS Y PASO DE LA BALSA , DESPISTE, LEVE, DOMINGO, 18, LAVALLEJA, SIN DATOS, 1, 653490, 6202840 
19/2/2017, AVENIDA MILLAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 19, MONTEVIDEO, MONTEVIDEO, 1, 574005, 6140930 
15/1/2017, CAMINO LAS BARRITAS, CAÍDA, LEVE, DOMINGO, 12, ROCHA, SIN DATOS, 1, 830245, 6259185 
1/1/2017, NO SE INGRESO, CAÍDA, LEVE, DOMINGO, 20, FLORIDA, SIN DATOS, 1, 570030, 6232280 
12/2/2017, NO SE INGRESO, DESPISTE, LEVE, DOMINGO, 16, DURAZNO, SIN DATOS, 1, 552815, 6293980 
12/2/2017, NO SE INGRESO, DESPISTE, LEVE, DOMINGO, 13, FLORES, SIN DATOS, 1, 513500, 6279390 
13/3/2017, NO SE INGRESO, ATROPELLO DE PEATÓN, LEVE, LUNES, 19, MONTEVIDEO, MONTEVIDEO, 1, 587390, 6151350 
