Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
19/11/2020, RUTA 81 KM 70, DESPISTE, LEVE, JUEVES, 16, CANELONES, SIN DATOS, 1, 623720, 6185235 
25/12/2020, GENERAL JUAN ANTONIO LAVALLEJA, ATROPELLO DE PEATÓN, LEVE, VIERNES, 7, ARTIGAS, ARTIGAS, 1, 551630, 6636225 
2/1/2021, SIN DATOS, CAÍDA, LEVE, SÁBADO, 6, CANELONES, SIN DATOS, 1, 598985, 6159575 
4/1/2021, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 19, CANELONES, PROGRESO, 1, 571645, 6163155 
5/1/2021, RESALSERO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, MARTES, 2, MALDONADO, PUNTA DEL ESTE, 1, 687570, 6128700 
13/12/2020, POCHO FERNANDEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 20, FLORIDA, FLORIDA, 1, 571770, 6226930 
13/12/2020, PUENTE NEGRO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, DOMINGO, 23, COLONIA, SIN DATOS, 1, 470925, 6199385 
14/12/2020, AGAPITO PARABERA, CAÍDA, LEVE, LUNES, 0, MALDONADO, MALDONADO, 1, 688220, 6136645 
16/12/2020, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, CANELONES, SIN DATOS, 1, 584030, 6152120 
4/1/2021, RUTA DIEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 10, MALDONADO, SANTA MONICA, 1, 708630, 6140620 
4/1/2021, SIN DATOS, ATROPELLO DE PEATÓN, GRAVE, LUNES, 9, CANELONES, PARQUE DEL PLATA, 1, 616410, 6153275 
4/1/2021, URUGUAY, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 11, COLONIA, CARMELO, 1, 381320, 6237200 
4/1/2021, PLZA ARTIGAS, CAÍDA, LEVE, LUNES, 15, DURAZNO, DURAZNO, 1, 544500, 6306680 
13/9/2020, RUTA 44 KILOMETRO 26, DESPISTE, FATAL, DOMINGO, 8, CERRO LARGO, SIN DATOS, 1, 755480, 6417655 
25/4/2020, RUTA 33 KM 42.500, ATROPELLO DE PEATÓN, FATAL, SÁBADO, 20, CANELONES, SIN DATOS, 1, 582425, 6174480 
30/8/2020, RUTA 9 km. 133.000, COLISIÓN ENTRE VEHÍCULOS, FATAL, DOMINGO, 17, MALDONADO, SIN DATOS, 1, 686445, 6153040 
25/9/2020, DIECIOCHO DE JULIO esq. DOCTOR EDUARDO IRASTORZA, COLISIÓN ENTRE VEHÍCULOS, FATAL, VIERNES, 18, COLONIA, CARMELO, 1, 380460, 6237555 
6/1/2021, VENECIA, CAÍDA, SIN LESIONADOS, MIÉRCOLES, 0, MALDONADO, MALDONADO, 1, 686515, 6136440 
6/1/2021, AVENIDA BALTASAR BRUM, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 6, ARTIGAS, ARTIGAS, 1, 551710, 6635505 
6/1/2021, RUTA 8 km. 376.700, DESPISTE, FATAL, MIÉRCOLES, 5, CERRO LARGO, SIN DATOS, 1, 770205, 6399180 
6/1/2021, LEANDRO GOMEZ, CAÍDA, LEVE, MIÉRCOLES, 7, FLORES, TRINIDAD, 1, 508795, 6290725 
6/1/2021, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 9, CANELONES, SIN DATOS, 1, 582195, 6181490 
6/1/2021, VENTURA ALEGRE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 11, MALDONADO, MALDONADO, 1, 687325, 6135415 
6/1/2021, AVENIDA GENERAL JOSE GERVASIO ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 9, CANELONES, SIN DATOS, 1, 570875, 6156925 
6/1/2021, CALLEJON JOSE DE LUCA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 11, LAVALLEJA, MINAS, 1, 661895, 6194455 
6/1/2021, GAVIOTIN Y PLAYERO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, MIÉRCOLES, 12, MALDONADO, PUNTA BALLENA, 1, 679220, 6137525 
6/1/2021, RUTA IB KM 104, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, MALDONADO, SIN DATOS, 1, 664340, 6143540 
6/1/2021, ARGENTINA, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, MIÉRCOLES, 15, ARTIGAS, ARTIGAS, 1, 551815, 6634535 
6/1/2021, CALLE 28 LOS PASADORES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, MALDONADO, BALNEARIO BUENOS AIRES, 1, 701310, 6137630 
6/1/2021, BALTASAR BRUM, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, FLORIDA, FLORIDA, 1, 572570, 6227020 
6/1/2021, GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 18, CANELONES, PROGRESO, 1, 571885, 6162150 
6/1/2021, MIHANOVICH, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 23, COLONIA, COLONIA DEL SACRAMENTO, 1, 420165, 6188575 
7/1/2021, JOSE MORELLI, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 9, CANELONES, COLONIA NICOLICH, 1, 591075, 6146310 
7/1/2021, CUATRO PIEDRAS, CAÍDA, LEVE, JUEVES, 8, CANELONES, SIN DATOS, 1, 562590, 6166205 
7/1/2021, SIN DATOS, DESPISTE, GRAVE, JUEVES, 7, CANELONES, SIN DATOS, 1, 561655, 6178565 
7/1/2021, DIECINUEVE DE ABRIL, CAÍDA, LEVE, JUEVES, 12, CANELONES, SIN DATOS, 1, 572085, 6156385 
7/1/2021, RAMON ORTIZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 12, CANELONES, SIN DATOS, 1, 570710, 6155800 
6/1/2021, TIMONEL, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 11, MALDONADO, FARO JOSE IGNACIO, 1, 715595, 6142200 
7/1/2021, CACHIMBA DEL REY, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 14, MALDONADO, MALDONADO, 1, 687265, 6134555 
7/1/2021, SIN DATOS, DESPISTE, SIN LESIONADOS, JUEVES, 16, FLORIDA, SIN DATOS, 1, 598915, 6210760 
7/1/2021, JACINTO MARIA ALVARIZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 17, MALDONADO, SAN CARLOS, 1, 690275, 6149055 
7/1/2021, FRANCISCO FONDAR, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 19, FLORES, TRINIDAD, 1, 509515, 6291100 
7/1/2021, DEMOCRACIA esq. PARALELA A RUTA INTERBALNEARIA, COLISIÓN ENTRE VEHÍCULOS, FATAL, JUEVES, 19, CANELONES, SAN LUIS, 1, 630425, 6151405 
8/1/2021, SIN DATOS, DESPISTE, LEVE, VIERNES, 7, COLONIA, SIN DATOS, 1, 440330, 6210115 
8/1/2021, TREINTA Y TRES, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, VIERNES, 7, ARTIGAS, ARTIGAS, 1, 551230, 6636170 
8/1/2021, CAMINO DE LOS HORNEROS, DESPISTE, LEVE, VIERNES, 7, CANELONES, VILLA EL TATO, 1, 593965, 6151175 
8/1/2021, AVENIDA JOAQUIN DE VIANA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 14, MALDONADO, MALDONADO, 1, 686075, 6135740 
8/1/2021, SAN CARLOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 14, MALDONADO, MALDONADO, 1, 686890, 6135425 
8/1/2021, DE LOS HORNEROS ESQUINA SAN CARLOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 14, MALDONADO, PLAYA VERDE, 1, 654115, 6145320 
8/1/2021, FELIX VASALLO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 15, CANELONES, BARROS BLANCOS, 1, 591655, 6154450 
8/1/2021, RAMBLA CLAUDIO WILLIMAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, MALDONADO, PUNTA DEL ESTE, 1, 688105, 6130430 
8/1/2021, BVAR. FRANCISCO MATA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 16, CERRO LARGO, MELO, 1, 766835, 6415215 
8/1/2021, CAMINO PASO CAMPAMENTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 19, ARTIGAS, ARTIGAS, 1, 550355, 6635055 
8/1/2021, VIA_PUBLICA, ATROPELLO DE ANIMALES, SIN LESIONADOS, VIERNES, 20, MALDONADO, MALDONADO, 1, 686505, 6135120 
8/1/2021, E. MARTINEZ MONEGAL, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 22, CANELONES, CANELONES, 1, 566495, 6179590 
8/1/2021, COLONIA Y EDUARDO PEREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 23, CANELONES, EL PINAR, 1, 597060, 6149535 
8/1/2021, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 21, CANELONES, SIN DATOS, 1, 596695, 6178510 
9/1/2021, PUEBLO DE DIOS, CAÍDA, LEVE, SÁBADO, 0, DURAZNO, SIN DATOS, 1, 631375, 6312200 
9/1/2021, AMARO F. RAMOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 8, ARTIGAS, ARTIGAS, 1, 551820, 6636740 
9/1/2021, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 9, CERRO LARGO, SIN DATOS, 1, 774790, 6413195 
9/1/2021, BUENOS AIRES, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 9, COLONIA, CARMELO, 1, 381325, 6237820 
9/1/2021, SIN DATOS, DESPISTE, LEVE, SÁBADO, 8, ARTIGAS, SIN DATOS, 1, 452985, 6628975 
9/1/2021, TREINTA Y TRES, DESPISTE, LEVE, SÁBADO, 13, FLORIDA, FLORIDA, 1, 571530, 6226090 
9/1/2021, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, CANELONES, SIN DATOS, 1, 612675, 6154590 
9/1/2021, SIN DATOS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 12, CANELONES, SIN DATOS, 1, 584660, 6188275 
9/1/2021, ALBERTO CARACARA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 15, MALDONADO, MALDONADO, 1, 688290, 6136355 
9/1/2021, VIA_PUBLICA, CAÍDA, LEVE, SÁBADO, 18, MALDONADO, SIN DATOS, 1, 699965, 6175095 
