Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
23/12/2018, EDUARDO MARIA PEREZ, DESPISTE, LEVE, DOMINGO, 10, CANELONES, EL PINAR, 1, 597080, 6149665 
9/12/2018, RUTA 30, DESPISTE, LEVE, DOMINGO, 13, ARTIGAS, SIN DATOS, 1, 552235, 6633300 
21/10/2018, NO SE INGRESO, DESPISTE, LEVE, DOMINGO, 14, SALTO, SIN DATOS, 1, 578920, 6576825 
16/12/2018, PLZA ARTIGAS, CAÍDA, LEVE, DOMINGO, 11, DURAZNO, DURAZNO, 1, 545435, 6306175 
14/10/2018, NO SE INGRESO, ATROPELLO DE ANIMALES, LEVE, DOMINGO, 23, DURAZNO, SIN DATOS, 1, 629750, 6312490 
15/4/2018, NO SE INGRESO, DESPISTE, SIN LESIONADOS, DOMINGO, 18, COLONIA, SIN DATOS, 1, 383150, 6235465 
9/12/2018, RUTA 12 KM 89, CAÍDA, GRAVE, DOMINGO, 7, CANELONES, SIN DATOS, 1, 602780, 6202830 
17/2/2019, VIBORAS, DESPISTE, LEVE, DOMINGO, 4, COLONIA, SIN DATOS, 1, 397825, 6244225 
23/12/2018, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 13, CANELONES, SIN DATOS, 1, 589780, 6153645 
29/4/2018, AVENIDA FRUGONI CASI ARROSPIDE, CAÍDA, LEVE, DOMINGO, 23, DURAZNO, DURAZNO, 1, 543630, 6306675 
2/9/2018, NO SE INGRESO, CAÍDA, LEVE, DOMINGO, 20, CANELONES, SIN DATOS, 1, 591240, 6149355 
9/9/2018, DIECINUEVE DE ABRIL, ATROPELLO DE PEATÓN, LEVE, DOMINGO, 20, SALTO, SALTO, 1, 407865, 6527330 
4/4/2018, RUTA 63, DESPISTE, GRAVE, MIÉRCOLES, 18, CANELONES, SIN DATOS, 1, 580930, 6198050 
28/10/2018, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, DOMINGO, 9, COLONIA, SIN DATOS, 1, 437185, 6211690 
16/4/2018, NO SE INGRESO, DESPISTE, GRAVE, LUNES, 7, TACUAREMBO, SIN DATOS, 1, 563805, 6411185 
3/12/2018, F. MATA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 6, CERRO LARGO, MELO, 1, 766900, 6415560 
28/5/2018, ESTERO BELLACO, DESPISTE, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 1, 576675, 6139175 
14/1/2019, NO SE INGRESO, CAÍDA, LEVE, LUNES, 19, DURAZNO, SIN DATOS, 1, 546420, 6301630 
16/7/2018, NO SE INGRESO, CAÍDA, LEVE, LUNES, 12, DURAZNO, DURAZNO, 1, 544715, 6304105 
27/8/2018, URUGUAY, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 16, SALTO, SALTO, 1, 410065, 6526845 
13/11/2018, NO SE INGRESO, DESPISTE, LEVE, MARTES, 9, SORIANO, SIN DATOS, 1, 455025, 6248210 
7/8/2018, DR. NERY CAMPOS , DESPISTE, LEVE, MARTES, 7, SALTO, SIN DATOS, 1, 417925, 6531600 
1/1/2019, ANTONIO LUSSICH, CAÍDA, LEVE, MARTES, 15, MALDONADO, SIN DATOS, 1, 679145, 6137840 
19/3/2019, NO SE INGRESO, ATROPELLO DE ANIMALES, LEVE, MARTES, 17, FLORIDA, SIN DATOS, 1, 589400, 6230985 
19/2/2019, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, MARTES, 21, SALTO, SIN DATOS, 1, 430445, 6555655 
8/8/2018, NO SE INGRESO, DESPISTE, LEVE, MIÉRCOLES, 13, MALDONADO, SIN DATOS, 1, 722835, 6158965 
9/1/2019, NO SE INGRESO, DESPISTE, LEVE, MIÉRCOLES, 6, CERRO LARGO, SIN DATOS, 1, 766925, 6437440 
25/4/2018, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, MIÉRCOLES, 3, RIO NEGRO, SIN DATOS, 1, 427305, 6378705 
11/4/2018, CORONEL B. SILVEIRA, CAÍDA, LEVE, MIÉRCOLES, 8, LAVALLEJA, MINAS, 1, 662390, 6194815 
4/4/2018, CAMINO AVIACION , CAÍDA, LEVE, MIÉRCOLES, 2, SAN JOSE, SIN DATOS, 1, 525020, 6199080 
6/2/2019, NO SE INGRESO, CAÍDA, GRAVE, MIÉRCOLES, 6, DURAZNO, SIN DATOS, 1, 550440, 6345380 
14/11/2018,  COSTANERA A LA BARRA, CAÍDA, LEVE, MIÉRCOLES, 15, MALDONADO, EL TESORO, 1, 694400, 6135040 
11/8/2018, RUTA 4, DESPISTE, LEVE, SÁBADO, 16, ARTIGAS, SIN DATOS, 1, 536175, 6616250 
22/9/2018, DOCTOR O. GONZALEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, FLORIDA, FLORIDA, 1, 572225, 6227095 
