Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
29/1/2020, AVENIDA GENERAL EUGENIO GARZON ESQ. TOMAS TEXERA, COLISIÓN ENTRE VEHÍCULOS, FATAL, MIÉRCOLES, 10, MONTEVIDEO, MONTEVIDEO, 1, 571145, 6144235 
4/2/2020, GENERAL JOSE G. ARTIGAS ESQ. DOCTOR F. LUCAS GAFFRE, DESPISTE, FATAL, MARTES, 13, SALTO, SALTO, 1, 410515, 6526670 
6/2/2020, GENERAL JUAN ANTONIO LAVALLEJA ESQ. SARANDI, COLISIÓN ENTRE VEHÍCULOS, FATAL, JUEVES, 19, TREINTA Y TRES, TREINTA Y TRES, 1, 743615, 6319115 
11/2/2020, WILSON FERREIRA ALDUNATE ESQ. VEINTICINCO DE AGOSTO, ATROPELLO DE PEATÓN, FATAL, MARTES, 20, RIO NEGRO, SIN DATOS, 1, 440230, 6382775 
6/1/2020, CAMINO TENIENTE GALEANO esq. AZOTEA DE LIMA, COLISIÓN ENTRE VEHÍCULOS, FATAL, LUNES, 0, MONTEVIDEO, MONTEVIDEO, 1, 578005, 6145710 
10/6/2019, NO SE INGRESO, CAÍDA, SIN LESIONADOS, LUNES, 2, ROCHA, SIN DATOS, 1, 760200, 6162860 
22/9/2019, NO SE INGRESO, DESPISTE, SIN LESIONADOS, DOMINGO, 2, ARTIGAS, SIN DATOS, 1, 553905, 6630590 
3/11/2019, NO SE INGRESO, ATROPELLO DE PEATÓN, LEVE, DOMINGO, 5, SALTO, SIN DATOS, 1, 417695, 6527675 
15/9/2019, NO SE INGRESO, DESPISTE, LEVE, DOMINGO, 19, MONTEVIDEO, MONTEVIDEO, 1, 583980, 6148910 
2/6/2019, RUTA 18, CAÍDA, SIN LESIONADOS, DOMINGO, 21, CERRO LARGO, SIN DATOS, 1, 830235, 6389560 
7/4/2019, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 5, CANELONES, SIN DATOS, 1, 563960, 6180140 
21/7/2019, NO SE INGRESO, DESPISTE, LEVE, DOMINGO, 22, DURAZNO, SIN DATOS, 1, 546555, 6309910 
27/10/2019, NO SE INGRESO, DESPISTE, SIN LESIONADOS, DOMINGO, 17, CANELONES, SIN DATOS, 1, 586150, 6190455 
1/12/2019, NO SE INGRESO, DESPISTE, LEVE, DOMINGO, 23, LAVALLEJA, SIN DATOS, 1, 667680, 6195910 
2/12/2019, CAMINO LOS COLONOS, CAÍDA, GRAVE, LUNES, 17, COLONIA, SIN DATOS, 1, 471835, 6198130 
22/4/2019, NO SE INGRESO, ATROPELLO DE ANIMALES, LEVE, LUNES, 19, CANELONES, SIN DATOS, 1, 595665, 6196065 
18/11/2019, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, GRAVE, LUNES, 16, TACUAREMBO, SIN DATOS, 1, 673810, 6448280 
17/6/2019, NO SE INGRESO, DESPISTE, LEVE, LUNES, 1, FLORIDA, SIN DATOS, 1, 569640, 6201905 
6/5/2019, OLASAGATY, CAÍDA, LEVE, LUNES, 21, SORIANO, MERCEDES, 1, 402885, 6319405 
18/6/2019, NO SE INGRESO, DESPISTE, SIN LESIONADOS, MARTES, 17, SORIANO, SIN DATOS, 1, 391180, 6293825 
2/4/2019, RINCON, CAÍDA, LEVE, MARTES, 14, MALDONADO, MALDONADO, 1, 686785, 6135125 
12/11/2019, RUTA 1 KM 89.000, DESPISTE, FATAL, MARTES, 18, SAN JOSE, SIN DATOS, 1, 505480, 6189430 
15/5/2019, NO SE INGRESO, DESPISTE, LEVE, MIÉRCOLES, 14, TREINTA Y TRES, SIN DATOS, 1, 791610, 6358045 
14/8/2019, CAMINO VECINAL CASI SAN MARTIN, CAÍDA, LEVE, MIÉRCOLES, 13, SALTO, SIN DATOS, 1, 412775, 6531020 
23/11/2019, RUTA 3, CAÍDA, LEVE, SÁBADO, 7, RIO NEGRO, SIN DATOS, 1, 466380, 6353240 
25/5/2019, NO SE INGRESO, CAÍDA, LEVE, SÁBADO, 19, CANELONES, AEROPUERTO INTERNACIONAL DE CARRASCO, 1, 590535, 6145765 
21/9/2019, NO SE INGRESO, DESPISTE, LEVE, SÁBADO, 14, DURAZNO, SIN DATOS, 1, 548770, 6311090 
