Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
27/1/2013, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 22, CANELONES, BELLO HORIZONTE, 1, 623550, 6153625 
13/1/2013, , CAÍDA, GRAVE, DOMINGO, 9, CANELONES, PARQUE DEL PLATA, 1, 617865, 6153095 
6/1/2013, JULIO SOSA, CAÍDA, LEVE, DOMINGO, 17, MONTEVIDEO, MONTEVIDEO, 1, 581540, 6139370 
27/1/2013, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 11, CANELONES, SIN DATOS, 1, 595775, 6202405 
11/2/2013, CAMINO MELILLA, CAÍDA, LEVE, LUNES, 16, MONTEVIDEO, SIN DATOS, 1, 566840, 6152825 
21/1/2013, , COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 20, COLONIA, SIN DATOS, 1, 489965, 6198405 
1/1/2013, RAMON ORTIZ, CAÍDA, GRAVE, MARTES, 3, CANELONES, SIN DATOS, 1, 570885, 6155795 
22/1/2013, NO SE INGRESO, CAÍDA, LEVE, MARTES, 21, CANELONES, SIN DATOS, 1, 595650, 6190395 
19/2/2013, , COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 19, CANELONES, PARQUE DEL PLATA, 1, 618375, 6153145 
13/2/2013, NO SE INGRESO, CAÍDA, GRAVE, MIÉRCOLES, 22, COLONIA, SIN DATOS, 1, 470070, 6200975 
2/1/2013, , DESPISTE, SIN LESIONADOS, MIÉRCOLES, 6, CANELONES, SIN DATOS, 1, 571145, 6182445 
16/1/2013, GALICIA, ATROPELLO DE PEATÓN, LEVE, MIÉRCOLES, 13, MONTEVIDEO, MONTEVIDEO, 1, 573310, 6137675 
23/2/2013, CAMINO VLADIMIR ROSLIK, ATROPELLO DE ANIMALES, LEVE, SÁBADO, 9, RIO NEGRO, SIN DATOS, 1, 394895, 6385995 
26/1/2013, SARANDI, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, CERRO LARGO, MELO, 1, 765925, 6414515 
28/3/2013, PIRIA , CAÍDA, LEVE, JUEVES, 9, MALDONADO, PIRIAPOLIS, 1, 657450, 6139560 
28/3/2013, , CAÍDA, LEVE, JUEVES, 18, FLORES, SIN DATOS, 1, 506355, 6302070 
7/3/2013, , CAÍDA, LEVE, JUEVES, 19, TACUAREMBO, SIN DATOS, 1, 613510, 6461835 
3/1/2013, GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 6, CANELONES, SIN DATOS, 1, 571040, 6154315 
24/1/2013, RUTA OCHO, CAÍDA, LEVE, JUEVES, 14, MONTEVIDEO, SIN DATOS, 1, 585125, 6149625 
1/3/2013, , DESPISTE, LEVE, VIERNES, 18, CANELONES, SIN DATOS, 1, 579275, 6195285 
11/1/2013, ITUZAINGO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 21, CANELONES, SIN DATOS, 1, 571700, 6159350 
29/3/2013, , ATROPELLO DE ANIMALES, LEVE, VIERNES, 21, CANELONES, SIN DATOS, 1, 597660, 6158565 
1/3/2013, CESAR MAYO GUTIERREZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 22, CANELONES, SIN DATOS, 1, 570680, 6153865 
9/2/2013, , CAÍDA, LEVE, SÁBADO, 15, MALDONADO, SIN DATOS, 1, 676450, 6142195 
16/3/2013, , COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 16, CERRO LARGO, MELO, 1, 768730, 6413865 
31/3/2013, RUTA 4 KM 82, CAÍDA, LEVE, DOMINGO, 13, SALTO, SIN DATOS, 1, 462345, 6532500 
6/1/2013, PLAYA ARAZATI, CAÍDA, GRAVE, DOMINGO, 20, SAN JOSE, SIN DATOS, 1, 507560, 6168895 
5/1/2013, NO SE INGRESO, CAÍDA, LEVE, SÁBADO, 12, LAVALLEJA, SIN DATOS, 1, 655535, 6192970 
26/1/2013, , CAÍDA, GRAVE, SÁBADO, 7, COLONIA, SIN DATOS, 1, 475035, 6202385 
6/1/2013, , CAÍDA, LEVE, DOMINGO, 17, SAN JOSE, SIN DATOS, 1, 490585, 6193865 
4/3/2013, MERCEDES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 14, MONTEVIDEO, MONTEVIDEO, 1, 573550, 6137280 
21/1/2013, CAMINO ALDABALDE, ATROPELLO DE ANIMALES, GRAVE, LUNES, 10, CANELONES, SIN DATOS, 1, 570070, 6153895 
3/3/2013, PARAGUAY, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 19, CANELONES, SIN DATOS, 1, 570480, 6156680 
13/1/2013, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 12, MALDONADO, LA BARRA, 1, 695545, 6134290 
6/1/2013, BOULEVARD GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 23, MONTEVIDEO, MONTEVIDEO, 1, 576360, 6137415 
